ERROR_CODE,MODEL_NAME,PAIR_REPAIRING,MATERIAL_REPAIR_SAME_TIME,COUNT,PROBABILITY
4A03,CAP00,單一,MB,4,1.0
4A04,CAP00,單一,MB,1,1.0
4A05,CAP00,單一,MB,1,1.0
4A05,CAP00,組合,LCD PANEL__MB,1,1.0
4A07,CAP00,單一,MB,1,1.0
4A09,CAP00,單一,MB,1,1.0
4B01,CAP00,單一,KB,1,1.0
4B06,CAP00,單一,MB,1,1.0
4B14,CAP00,單一,THERMAL,1,0.5
4B14,CAP00,單一,MB,1,0.5
4B16,CAP00,單一,MB,1,1.0
4B17,CAP00,單一,MB,2,1.0
4C09,CAP00,單一,MB,1,1.0
4D01,CAP00,單一,MB,6,1.0
4D07,CAP00,單一,MB,1,1.0
4E01,CAP00,單一,MB,2,1.0
4E02,CAP00,單一,MB,1,1.0
4E03,CAP00,單一,TBT/B,1,0.5
4E03,CAP00,單一,MB,1,0.5
4E03,CAP00,組合,MB__TBT/B,1,1.0
4E04,CAP00,單一,MB,8,0.8888888888888888
4E04,CAP00,單一,TBT/B,1,0.1111111111111111
4E05,CAP00,單一,MB,1,1.0
4E06,CAP00,單一,MB,1,1.0
4E09,CAP00,單一,MB,3,1.0
4E10,CAP00,單一,MB,2,1.0
4F05,CAP00,單一,MB,1,1.0
4F07,CAP00,單一,MB,1,1.0
4F08,CAP00,單一,KB,2,0.6666666666666666
4F08,CAP00,單一,MB,1,0.3333333333333333
4F08,CAP00,組合,KB__MB,1,1.0
4G01,CAP00,單一,MB,2,0.6666666666666666
4G01,CAP00,單一,SPEAKER,1,0.3333333333333333
4G03,CAP00,單一,MB,1,1.0
4G04,CAP00,單一,MB,1,1.0
4G05,CAP00,單一,MB,2,1.0
4H01,CAP00,單一,MB,1,1.0
4H01,CAP00,組合,MB__VGA,1,1.0
4H07,CAP00,單一,HDD,1,1.0
4H09,CAP00,單一,MB,1,1.0
4I04,CAP00,單一,MB,2,1.0
4I07,CAP00,單一,MB,1,1.0
4I08,CAP00,單一,MB,1,1.0
4I09,CAP00,單一,MB,1,1.0
4I14,CAP00,單一,MB,1,1.0
4I20,CAP00,單一,MB,2,1.0
4I27,CAP00,單一,ANTENNA,1,1.0
4I39,CAP00,單一,MB,1,1.0
4I45,CAP00,單一,MB,1,1.0
4J02,CAP00,單一,MB,1,1.0
4J04,CAP00,單一,MB,1,1.0
6A99,CAP00,單一,LCD PANEL,1,1.0
6B14,CAP00,單一,HINGE CAP,1,1.0
6B14,CAP00,組合,KB__MB,1,1.0
6C97,CAP00,單一,LCD COVER,2,1.0
6C99,CAP00,單一,LCD COVER,2,1.0
6L08,CAP00,單一,LOGIC LOWER,1,1.0
6L94,CAP00,組合,KB__LOGIC LOWER,1,1.0
6Q16,CAP00,單一,BATTERY DOOR,1,1.0
6Q27,CAP00,單一,ANTENNA,1,1.0
6Q28,CAP00,單一,LOGIC LOWER,1,1.0
6U08,CAP00,單一,MB,1,1.0
6U93,CAP00,單一,LOGIC UPPER,1,1.0
4D03,CAP10,單一,MB,1,1.0
4A03,CAZ10,單一,MB,1,1.0
4A05,CAZ10,單一,MB,1,1.0
4B01,CAZ10,單一,KB,1,1.0
4C03,CAZ10,單一,LCD PANEL,1,1.0
4G03,CAZ10,單一,MB,1,0.5
4G03,CAZ10,單一,CAMERA,1,0.5
4H07,CAZ10,單一,HDD,1,1.0
4I04,CAZ10,單一,MB,1,1.0
4I30,CAZ10,組合,EDP CABLE__LCD PANEL__MB,1,1.0
4I49,CAZ10,單一,HDD,1,1.0
6A04,CAZ10,單一,LCD PANEL,5,1.0
6A04,CAZ10,組合,LCD PANEL__UPPER,1,1.0
6B14,CAZ10,單一,LCD PANEL,1,1.0
6C91,CAZ10,單一,LCD COVER,1,1.0
6C93,CAZ10,單一,LCD PANEL,2,1.0
6C99,CAZ10,單一,LCD,1,1.0
6Q29,CAZ10,單一,WLAN,1,1.0
6U93,CAZ10,單一,TOUCH PAD,1,1.0
4A03,CAZ20,單一,MB,4,0.8
4A03,CAZ20,單一,RAM,1,0.2
4A07,CAZ20,單一,MB,1,0.5
4A07,CAZ20,單一,LCD PANEL,1,0.5
4A07,CAZ20,組合,KB__MB,1,1.0
4A09,CAZ20,單一,MB,2,1.0
4A09,CAZ20,組合,HDD__MB,1,1.0
4A10,CAZ20,單一,MB,1,1.0
4B05,CAZ20,單一,FPRINT,2,1.0
4B17,CAZ20,單一,MB,1,1.0
4C05,CAZ20,單一,LCD PANEL,1,1.0
4D01,CAZ20,單一,MB,1,1.0
4E03,CAZ20,單一,MB,1,1.0
4E04,CAZ20,單一,MB,2,1.0
4E05,CAZ20,單一,MB,1,1.0
4F08,CAZ20,單一,KB,1,0.5
4F08,CAZ20,單一,MB,1,0.5
4F08,CAZ20,組合,KB__MB,1,1.0
4G01,CAZ20,單一,MB,1,1.0
4I01,CAZ20,單一,MB,1,1.0
4I07,CAZ20,單一,MB,1,1.0
4I09,CAZ20,單一,MB,1,1.0
4I17,CAZ20,單一,MB,1,1.0
4I35,CAZ20,單一,MB,1,1.0
4I42,CAZ20,組合,EDP CABLE__MB,1,1.0
4I44,CAZ20,單一,RAM,1,1.0
4I49,CAZ20,組合,HDD__MB,1,1.0
6A01,CAZ20,單一,THERMAL,1,1.0
6A04,CAZ20,單一,LCD PANEL,4,1.0
6A09,CAZ20,單一,LCD,1,1.0
6B14,CAZ20,單一,LCD PANEL,1,1.0
6B93,CAZ20,單一,MB,1,1.0
6B96,CAZ20,單一,LCD BEZEL,1,1.0
6C91,CAZ20,單一,LCD COVER,2,1.0
6K05,CAZ20,單一,KB,1,1.0
6Q16,CAZ20,單一,BIG DOOR,2,1.0
6Q27,CAZ20,單一,LCD,1,0.5
6Q27,CAZ20,單一,KB,1,0.5
6Q29,CAZ20,組合,ANTENNA__BATT__MB,1,1.0
6U04,CAZ20,單一,BIG DOOR,1,1.0
6U08,CAZ20,單一,UPPER,1,1.0
6U10,CAZ20,單一,UPPER,1,1.0
6U19,CAZ20,單一,UPPER,1,1.0
6U50,CAZ20,單一,MB,1,1.0
6U91,CAZ20,單一,UPPER,3,1.0
6U93,CAZ20,單一,UPPER,1,1.0
6U94,CAZ20,單一,UPPER,1,1.0
6U97,CAZ20,單一,UPPER,3,1.0
6U98,CAZ20,單一,UPPER,2,1.0
4A03,CDM70,單一,MB,4,1.0
4A05,CDM70,單一,MB,1,1.0
4A06,CDM70,單一,MB,1,1.0
4A07,CDM70,單一,MB,2,0.5
4A07,CDM70,單一,LCD PANEL,1,0.25
4A07,CDM70,單一,EDP CABLE,1,0.25
4A07,CDM70,組合,HDD__LCD PANEL__MB,1,1.0
4A08,CDM70,單一,MB,1,1.0
4A09,CDM70,單一,MB,1,1.0
4A09,CDM70,組合,HDD__MB,2,1.0
4A10,CDM70,單一,MB,2,1.0
4B02,CDM70,單一,KB,1,1.0
4B05,CDM70,組合,MB__USH/B,1,1.0
4B14,CDM70,單一,FAN,1,1.0
4B17,CDM70,單一,EDP CABLE,1,1.0
4C05,CDM70,單一,LCD PANEL,1,1.0
4C09,CDM70,單一,EDP CABLE,1,0.5
4C09,CDM70,單一,LCD PANEL,1,0.5
4D01,CDM70,單一,MB,1,1.0
4D02,CDM70,單一,MB,1,1.0
4D03,CDM70,單一,MB,3,1.0
4D06,CDM70,單一,MB,1,1.0
4D10,CDM70,單一,MB,1,1.0
4E01,CDM70,單一,MB,3,1.0
4E04,CDM70,單一,MB,3,1.0
4E06,CDM70,單一,SMART CARD,2,1.0
4E10,CDM70,單一,MB,2,0.6666666666666666
4E10,CDM70,單一,KB,1,0.3333333333333333
4F03,CDM70,單一,MB,1,1.0
4F08,CDM70,單一,KB,1,0.5
4F08,CDM70,單一,MB,1,0.5
4F23,CDM70,單一,KB,1,1.0
4G02,CDM70,單一,MB,1,1.0
4G03,CDM70,單一,EDP CABLE,1,1.0
4G04,CDM70,單一,MB,1,1.0
4G05,CDM70,單一,MB,1,1.0
4H05,CDM70,單一,MB,2,0.6666666666666666
4H05,CDM70,單一,ANTENNA,1,0.3333333333333333
4H05,CDM70,組合,MB__WLAN,1,0.5
4H05,CDM70,組合,ANTENNA__WLAN,1,0.5
4H07,CDM70,單一,HDD,2,1.0
4H12,CDM70,單一,MB,1,1.0
4H12,CDM70,組合,MB__WLAN,1,1.0
4H14,CDM70,單一,MB,1,1.0
4I01,CDM70,組合,HDD__MB,2,1.0
4I02,CDM70,單一,MB,1,1.0
4I02,CDM70,組合,HDD__MB,1,1.0
4I04,CDM70,單一,HDD,1,0.5
4I04,CDM70,單一,RAM,1,0.5
4I07,CDM70,單一,MB,1,1.0
4I09,CDM70,單一,HDD,5,0.7142857142857143
4I09,CDM70,單一,MB,2,0.2857142857142857
4I09,CDM70,組合,HDD__RAM,1,1.0
4I14,CDM70,單一,HDD,3,1.0
4I14,CDM70,組合,HDD__MB,3,1.0
4I16,CDM70,單一,RAM,1,1.0
4I18,CDM70,單一,HDD,1,1.0
4I23,CDM70,組合,ANTENNA__WLAN,1,1.0
4I26,CDM70,單一,WWAN,1,0.5
4I26,CDM70,單一,ANTENNA,1,0.5
4I27,CDM70,單一,ANTENNA,3,1.0
4I29,CDM70,單一,WWAN,1,1.0
4I33,CDM70,單一,MB,1,1.0
4I37,CDM70,單一,MB,1,1.0
4I48,CDM70,單一,MB,2,1.0
4I49,CDM70,單一,HDD,3,1.0
6A04,CDM70,單一,LCD PANEL,3,0.75
6A04,CDM70,單一,MB,1,0.25
6B24,CDM70,單一,LCD BEZEL,5,0.8333333333333334
6B24,CDM70,單一,LCD COVER,1,0.16666666666666666
6B97,CDM70,單一,LCD BEZEL,1,1.0
6C01,CDM70,單一,LCD COVER,3,1.0
6C02,CDM70,單一,LCD COVER,1,1.0
6C15,CDM70,單一,LCD COVER,2,1.0
6C24,CDM70,單一,LCD COVER,1,1.0
6C91,CDM70,單一,LCD COVER,1,1.0
6C93,CDM70,單一,LCD COVER,1,1.0
6C93,CDM70,組合,LCD COVER__LCD PANEL,1,1.0
6C94,CDM70,單一,LCD COVER,1,1.0
6C95,CDM70,單一,LCD COVER,1,1.0
6C97,CDM70,單一,LCD COVER,1,0.5
6C97,CDM70,單一,BIG DOOR,1,0.5
6C97,CDM70,組合,HDD__LCD COVER,1,1.0
6C99,CDM70,單一,LCD COVER,1,1.0
6K05,CDM70,單一,KB,1,0.5
6K05,CDM70,單一,HDD,1,0.5
6K06,CDM70,單一,KB,1,1.0
6M01,CDM70,單一,MB,2,1.0
6Q16,CDM70,單一,BIG DOOR,2,1.0
6Q27,CDM70,單一,ANTENNA,3,0.75
6Q27,CDM70,單一,USH/B,1,0.25
6Q29,CDM70,單一,MB,1,0.5
6Q29,CDM70,單一,BATT,1,0.5
6Q30,CDM70,單一,BIG DOOR,2,1.0
6Q38,CDM70,單一,DOCK FRAME,2,0.6666666666666666
6Q38,CDM70,單一,BIG DOOR,1,0.3333333333333333
6Q44,CDM70,單一,WLAN,1,1.0
6U03,CDM70,單一,UPPER,1,1.0
6U09,CDM70,單一,WLAN,1,1.0
6U12,CDM70,單一,UPPER,1,1.0
6U19,CDM70,單一,UPPER,2,1.0
6U50,CDM70,單一,MB,1,1.0
6U91,CDM70,單一,UPPER,2,1.0
6U92,CDM70,單一,UPPER,2,1.0
6U93,CDM70,單一,UPPER,4,1.0
6U94,CDM70,單一,UPPER,3,1.0
6U97,CDM70,單一,UPPER,7,1.0
6U98,CDM70,單一,UPPER,1,1.0
6U99,CDM70,單一,UPPER,2,1.0
6W01,CDM70,單一,ANTENNA,4,1.0
6W01,CDM70,組合,ANTENNA__KB,1,0.5
6W01,CDM70,組合,ANTENNA__MB__WLAN,1,0.5
4A03,CDM80,單一,MB,2,1.0
4A04,CDM80,單一,BATT,2,1.0
4A09,CDM80,單一,HDD,1,1.0
4B07,CDM80,單一,MB,1,1.0
4B11,CDM80,組合,EDP CABLE__LCD PANEL,1,1.0
4E01,CDM80,單一,BATT,1,1.0
4E02,CDM80,單一,MB,1,1.0
4F05,CDM80,單一,MB,1,1.0
4G01,CDM80,單一,MB,1,1.0
4G03,CDM80,單一,EDP CABLE,1,1.0
4H07,CDM80,單一,HDD,1,1.0
4H71,CDM80,單一,MB,1,1.0
4I02,CDM80,單一,HDD,1,1.0
4I02,CDM80,組合,MB__USH/B,1,1.0
4I04,CDM80,單一,HDD,4,1.0
4I04,CDM80,組合,HDD__MB,1,1.0
